,City Name,Country Code,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
103,bluff,nz,16.4,91,64,5.07,-46.6,168.33
104,arman,ru,-15,45,24,6,59.7,150.17
105,cap malheureux,mu,27,83,75,6.2,-19.98,57.61
106,bambous virieux,mu,27,83,75,6.2,-20.34,57.76
107,komsomolskiy,ru,-23.2,67,64,6.52,67.55,63.78
108,northam,au,16,72,0,4.42,-31.65,116.67
109,taltal,cl,20.7,66,0,1.57,-25.41,-70.49
110,georgetown,sh,26.15,100,68,5.02,-7.93,-14.42
111,barcelona,ve,27.45,87,0,1.42,10.14,-64.69
112,bonthe,sl,30.05,68,56,2.82,7.53,-12.5
113,kyra,ru,-7,80,12,0.87,49.58,111.97
114,tasiilaq,gl,-1,80,92,10.8,65.61,-37.64
115,tanhacu,br,27.45,73,8,1.67,-14.02,-41.25
116,chumikan,ru,-12.75,50,44,2.52,54.72,135.31
117,nouadhibou,mr,28,23,0,9.8,20.93,-17.03
118,atuona,pf,27.65,100,92,7.97,-9.8,-139.03
119,acapulco,mx,21,77,40,1,16.86,-99.88
120,bowen,au,23,100,8,3.1,-20.01,148.25
121,coahuayana,mx,24.15,31,36,0.72,18.62,-100.35
122,narsaq,gl,8,36,0,14.4,60.91,-46.05
123,nhulunbuy,au,25,100,0,3.12,-12.18,136.78
124,salina,us,7.4,70,1,3.6,36.29,-95.15
125,cayenne,gf,26,88,75,5.7,4.94,-52.33
126,rocha,uy,24.05,98,92,7.27,-34.48,-54.34
127,coihaique,cl,9.87,62,75,4.1,-45.58,-72.07
128,fortuna,us,1.63,100,90,4.1,40.6,-124.16
129,chitrakonda,in,25.05,50,64,0.77,18.12,82.08
130,geraldton,ca,-14,42,40,3.1,49.72,-86.95
131,artesia,us,13.84,26,1,6.2,32.84,-104.4
132,mar del plata,ar,16.2,49,0,9.77,-46.43,-67.52
133,havoysund,no,-3,79,75,8.7,71,24.66
134,colchester,gb,-1,74,90,8.7,51.89,0.9
135,esperance,au,11.4,91,0,1.17,-33.86,121.89
136,esil,kz,0.2,92,0,6.07,51.96,66.41
137,palatka,ru,-15,45,12,6,60.1,150.94
138,volksrust,za,18,87,8,2.12,-27.36,29.88
139,carnarvon,za,28.9,7,0,5.72,-30.97,22.13
140,yellowknife,ca,-8,67,90,4.6,62.45,-114.38
141,te anau,nz,16.6,69,76,6.57,-45.41,167.72
142,basco,ph,24.75,100,0,5.77,20.45,121.97
143,ziro,in,9.5,96,76,0.72,27.54,93.82
144,ouesso,cg,22.3,100,88,0.92,1.61,16.05
145,hovd,mn,-4.55,83,56,0.52,48.01,91.64
146,naze,jp,19.05,100,24,1.32,28.37,129.48
147,sambava,mg,27.9,99,48,12.17,-14.27,50.17
148,nome,us,21.98,88,90,2.6,30.04,-94.42
149,santa maria,cv,24,57,40,8.7,16.6,-22.9
150,klaksvik,fo,4,69,8,4.1,62.23,-6.59
151,hithadhoo,mv,29.65,98,56,4.27,-0.6,73.08
152,tucurui,br,24.3,100,88,0.87,-3.77,-49.67
153,purpe,ru,-14.1,79,64,2.97,64.48,76.69
154,carnarvon,au,27.3,84,0,8.07,-24.87,113.63
155,bethel,us,-2,100,90,4.1,60.79,-161.76
156,kahului,us,20.1,94,75,2.6,20.89,-156.47
157,clarin,ph,22.8,100,48,0.77,8.2,123.86
158,rapid valley,us,-1.45,92,90,5.7,44.06,-103.15
159,meulaboh,id,27.7,100,56,1.57,4.14,96.13
160,lososina,ru,-3.2,96,88,4.52,49,140.31
161,comodoro rivadavia,ar,17,42,0,10.8,-45.87,-67.48
162,popondetta,pg,20,98,92,0.87,-8.77,148.24
163,nabire,id,20.85,85,76,0.87,-3.36,135.5
164,baruun-urt,mn,-3.85,70,0,4.12,46.68,113.28
165,chokurdakh,ru,-36.95,65,8,2.67,70.62,147.9
166,alofi,nu,25,88,8,1.5,-19.06,-169.92
167,port hardy,ca,-1,92,20,1,50.7,-127.42
168,janfida,am,17,33,0,1,40.04,44.02
169,vardo,no,-7,85,20,8.7,70.37,31.11
170,okato,nz,17.8,94,8,5.12,-39.19,173.88
171,dongsheng,cn,8.1,94,80,3.52,29.72,112.52
172,armizonskoye,ru,0.7,87,76,7.72,55.95,67.67
173,valparaiso,cl,18,59,0,2.1,-33.04,-71.63
174,tornio,fi,1.32,64,40,6.7,61.12,27.27
175,hami,cn,13.6,29,24,6.07,42.84,93.51
176,faanui,pf,27.6,100,88,6.57,-16.48,-151.75
177,hambantota,lk,28.7,98,24,5.97,6.12,81.12
178,lagoa,pt,17,59,40,6.7,37.14,-8.45
179,castro,cl,11.6,100,76,1.87,-42.48,-73.76
180,ribeira grande,pt,18,88,40,7.2,38.52,-28.7
181,labuhan,id,22.55,95,88,0.77,-2.54,115.51
182,chimore,bo,27.25,81,64,1.97,-16.98,-65.13
183,gushikawa,jp,19.55,82,1,2.92,26.35,127.87
184,port pirie,au,14,71,0,3.6,-33.18,138.01
185,frontera,mx,24,94,20,3.1,18.53,-92.64
186,aksarka,ru,-20.05,78,24,5.67,66.56,67.8
187,dunedin,nz,5.65,90,8,1.87,-45.87,170.5
188,tonantins,br,29.4,82,12,2.47,-2.86,-67.77
189,kyzyl-suu,kg,-0.25,100,0,1.22,42.34,78
190,petropavlovsk-kamchatskiy,ru,-10,56,36,7,53.05,158.65
191,phetchaburi,th,28.65,100,0,6.82,13.1,99.94
192,manyana,bw,26,54,40,3.6,-24.78,25.59
193,kodiak,us,3,93,90,2.6,39.95,-94.76
194,cidreira,br,31,68,32,3.07,-30.17,-50.22
195,mehamn,no,-3.25,92,80,3.42,71.03,27.85
196,kudahuvadhoo,mv,29.85,98,0,4.67,2.67,72.89
197,north bend,us,3.54,93,1,3.6,43.41,-124.22
198,neuquen,ar,16,36,0,6.2,-38.95,-68.06
199,tura,ru,-7.9,83,76,2.42,64.27,100.22
200,quatre cocos,mu,27,83,75,6.2,-20.21,57.76
201,singanallur,in,30,51,75,4.6,11,77.02
202,port shepstone,za,23.8,86,24,8.52,-30.74,30.45
203,tiksi,ru,-39.7,0,8,1.27,71.64,128.87
204,reforma,mx,5,44,40,1.5,24.02,-104.65
205,bambanglipuro,id,23.05,99,80,1.17,-7.95,110.28
206,buala,sb,26.3,100,80,0.42,-8.15,159.59
207,rio verde de mato grosso,br,33.4,54,12,3.22,-18.92,-54.84
208,ahuimanu,us,21.53,100,40,2.6,21.44,-157.84
209,kariya,jp,10,100,75,1,34.97,137
210,anloga,gh,32,62,20,7.7,5.79,0.9
211,luancheng,cn,2,100,56,1,37.88,114.65
212,qaqortoq,gl,8,36,68,14.4,60.72,-46.03
213,srednekolymsk,ru,-28.2,55,64,2.57,67.46,153.71
214,havre-saint-pierre,ca,-6,62,75,4.6,50.23,-63.6
215,bontang,id,27.5,100,32,2.32,0.12,117.47
216,flin flon,ca,-14,60,90,5.1,54.77,-101.88
217,souillac,mu,27,83,75,6.2,-20.52,57.52
218,lompoc,us,2.72,100,1,2.1,34.64,-120.46
